"","gndr","eisced","cntry","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"18711","Mujer","Formacion Profesional","Serbia",44,9,180,3,0.15,0,5,7,4
"18712","Mujer","Secundaria Inferior","Serbia",17,60,480,8,1,3,8,9,4
"18713","Hombre","Master/Doctorado","Serbia",49,30,360,6,0.5,0,8,6,3
"18714","Mujer","Bachiller","Serbia",NA,120,300,5,2,0,9,5,3
"18715","Mujer","Grado Universitario","Serbia",50,120,240,4,2,0,5,5,3
"18716","Hombre","Formacion Profesional","Serbia",75,180,NA,NA,3,8,10,8,3
"18717","Hombre","Bachiller","Serbia",53,210,NA,NA,3.5,1,1,5,3
"18718","Mujer","Bachiller","Serbia",69,0,600,10,0,0,10,5,3
"18719","Hombre","Grado Universitario","Serbia",30,20,360,6,0.33,1,10,8,4
"18720","Hombre","Grado Universitario","Serbia",32,80,210,3.5,1.33,1,5,7,4
"18721","Hombre","Grado Universitario","Serbia",NA,150,390,6.5,2.5,2,9,8,5
"18722","Hombre","Formacion Profesional","Serbia",49,60,120,2,1,0,10,5,3
"18723","Mujer","Grado Universitario","Serbia",55,300,540,9,5,3,8,3,3
"18724","Mujer","Bachiller","Serbia",43,4,180,3,0.07,NA,5,10,3
"18725","Mujer","Formacion Profesional","Serbia",40,15,90,1.5,0.25,0,8,8,3
"18726","Mujer","Formacion Profesional","Serbia",68,58,58,0.97,0.97,9,10,1,4
"18727","Mujer","Secundaria Superior","Serbia",64,60,30,0.5,1,0,10,5,4
"18728","Mujer","Grado Universitario","Serbia",48,9,600,10,0.15,2,7,5,4
"18729","Hombre","Master/Doctorado","Serbia",44,30,270,4.5,0.5,0,9,8,5
"18730","Hombre","Secundaria Superior","Serbia",62,120,NA,NA,2,8,10,5,2
"18731","Mujer","Grado Universitario","Serbia",29,9,600,10,0.15,0,2,8,5
"18732","Hombre","Grado Universitario","Serbia",72,195,60,1,3.25,3,10,8,4
"18733","Mujer","Secundaria Inferior","Serbia",16,165,600,10,2.75,3,8,7,5
"18734","Mujer","Secundaria Superior","Serbia",64,60,120,2,1,2,10,8,4
"18735","Mujer","Master/Doctorado","Serbia",58,180,NA,NA,3,4,6,6,3
"18736","Mujer","Secundaria Superior","Serbia",60,120,120,2,2,5,5,5,3
"18737","Hombre","Secundaria Inferior","Serbia",62,90,NA,NA,1.5,3,7,5,3
"18738","Mujer","Grado Universitario","Serbia",35,150,900,15,2.5,0,8,7,5
"18739","Hombre",NA,"Serbia",72,160,NA,NA,2.67,5,10,5,5
"18740","Hombre","Secundaria Superior","Serbia",62,29,90,1.5,0.48,0,7,5,4
"18741","Hombre","Formacion Profesional","Serbia",60,60,180,3,1,0,6,2,4
"18742","Mujer","Grado Universitario","Serbia",71,90,1200,20,1.5,2,5,5,3
"18743","Hombre","Bachiller","Serbia",59,30,29,0.48,0.5,0,8,9,3
"18744","Hombre","Grado Universitario","Serbia",45,60,120,2,1,1,5,5,5
"18745","Hombre","Bachiller","Serbia",52,210,600,10,3.5,1,6,7,3
"18746","Hombre","Bachiller","Serbia",59,120,300,5,2,0,7,6,3
"18747","Mujer","Formacion Profesional","Serbia",54,120,840,14,2,0,8,7,5
"18748","Mujer","Master/Doctorado","Serbia",NA,90,330,5.5,1.5,0,9,6,5
"18749","Hombre","Secundaria Inferior","Serbia",17,20,230,3.83,0.33,3,7,10,4
"18750",NA,NA,"Serbia",NA,300,300,5,5,1,6,8,5
"18751","Hombre","Bachiller","Serbia",38,10,120,2,0.17,0,5,5,4
