"","gndr","eisced","cntry","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"2342","Hombre","Master/Doctorado","Chipre",42,5,720,12,0.08,2,8,8,5
"2343","Mujer","Bachiller","Chipre",42,150,150,2.5,2.5,4,5,10,5
"2344","Hombre","Grado Universitario","Chipre",44,45,300,5,0.75,3,7,5,5
"2345","Mujer","Bachiller","Chipre",20,30,960,16,0.5,2,9,5,5
"2346","Hombre","Grado Universitario","Chipre",34,60,600,10,1,2,9,7,4
"2347","Hombre","Secundaria Superior","Chipre",68,90,NA,NA,1.5,5,8,9,4
"2348","Hombre","Formacion Profesional","Chipre",41,30,12,0.2,0.5,0,10,3,3
"2349","Hombre","Master/Doctorado","Chipre",39,5,270,4.5,0.08,1,7,6,4
"2350","Hombre","Master/Doctorado","Chipre",39,90,660,11,1.5,2,8,7,5
"2351","Hombre","Bachiller","Chipre",75,90,105,1.75,1.5,5,10,8,3
"2352","Mujer","Bachiller","Chipre",20,0,240,4,0,0,5,8,5
"2353","Hombre","Bachiller","Chipre",65,150,NA,NA,2.5,6,9,8,5
"2354","Mujer","Grado Universitario","Chipre",30,70,350,5.83,1.17,0,3,5,4
"2355","Mujer","Master/Doctorado","Chipre",76,120,90,1.5,2,0,8,0,5
"2356","Mujer","Master/Doctorado","Chipre",47,120,240,4,2,8,10,7,5
"2357","Mujer","Formacion Profesional","Chipre",36,0,30,0.5,0,2,0,7,4
"2358","Hombre","Master/Doctorado","Chipre",63,120,360,6,2,1,7,7,5
"2359","Hombre","Bachiller","Chipre",18,60,180,3,1,0,8,9,5
"2360","Hombre","Primaria","Chipre",77,120,NA,NA,2,4,7,5,4
"2361","Hombre","Bachiller","Chipre",35,60,180,3,1,3,8,8,5
"2362","Hombre","Grado Universitario","Chipre",76,90,30,0.5,1.5,0,8,7,4
"2363","Hombre","Formacion Profesional","Chipre",58,90,420,7,1.5,3,9,7,4
"2364","Hombre","Bachiller","Chipre",64,120,NA,NA,2,2,8,8,5
"2365","Mujer","Bachiller","Chipre",16,40,90,1.5,0.67,2,6,8,4
"2366","Mujer","Grado Universitario","Chipre",50,84,419,6.98,1.4,3,8,8,4
"2367","Hombre","Grado Universitario","Chipre",55,60,300,5,1,0,10,5,5
"2368","Hombre","Bachiller","Chipre",22,120,510,8.5,2,0,10,6,2
"2369","Mujer","Master/Doctorado","Chipre",52,60,600,10,1,2,9,7,5
"2370","Mujer","Formacion Profesional","Chipre",41,60,720,12,1,3,8,8,4
"2371","Mujer","Grado Universitario","Chipre",42,30,480,8,0.5,2,5,8,4
"2372","Hombre","Grado Universitario","Chipre",71,90,180,3,1.5,0,8,8,4
"2373","Mujer","Grado Universitario","Chipre",19,30,900,15,0.5,0,9,7,3
"2374","Hombre","Bachiller","Chipre",NA,150,NA,NA,2.5,0,10,9,3
"2375","Hombre","Master/Doctorado","Chipre",63,120,180,3,2,2,7,7,4
"2376","Hombre","Master/Doctorado","Chipre",NA,120,600,10,2,1,9,7,4
"2377","Mujer","Master/Doctorado","Chipre",35,20,180,3,0.33,2,9,10,5
"2378","Mujer","Grado Universitario","Chipre",34,0,180,3,0,0,5,4,5
"2379","Mujer","Primaria","Chipre",68,60,NA,NA,1,5,7,8,5
"2380","Hombre","Secundaria Inferior","Chipre",17,40,108,1.8,0.67,3,9,9,5
"2381","Mujer","Grado Universitario","Chipre",41,5,540,9,0.08,0,5,NA,5
"2382","Mujer","Master/Doctorado","Chipre",44,30,30,0.5,0.5,0,3,NA,3
"2383","Mujer","Grado Universitario","Chipre",60,180,300,5,3,0,8,7,5
"2384","Mujer","Grado Universitario","Chipre",37,120,150,2.5,2,1,8,10,5
"2385","Mujer","Grado Universitario","Chipre",42,30,360,6,0.5,2,5,5,3
"2386","Mujer","Grado Universitario","Chipre",39,5,120,2,0.08,1,8,9,5
"2387","Mujer","Master/Doctorado","Chipre",42,90,105,1.75,1.5,0,8,7,5
"2388","Hombre","Grado Universitario","Chipre",35,90,600,10,1.5,0,6,9,5
"2389","Hombre","Bachiller","Chipre",39,30,600,10,0.5,0,7,8,5
"2390","Mujer","Master/Doctorado","Chipre",42,10,120,2,0.17,7,10,10,5
"2391","Hombre","Grado Universitario","Chipre",32,60,180,3,1,1,4,4,4
"2392","Mujer","Bachiller","Chipre",47,30,480,8,0.5,4,7,9,5
"2393","Mujer","Master/Doctorado","Chipre",43,60,240,4,1,0,9,8,4
"2394","Mujer","Bachiller","Chipre",58,150,90,1.5,2.5,5,8,8,4
"2395","Hombre","Bachiller","Chipre",67,60,NA,NA,1,3,3,5,3
"2396","Mujer","Master/Doctorado","Chipre",48,150,90,1.5,2.5,1,4,7,5
"2397","Mujer","Master/Doctorado","Chipre",30,180,300,5,3,5,9,4,4
"2398","Hombre","Master/Doctorado","Chipre",54,120,150,2.5,2,5,6,4,5
"2399","Hombre","Grado Universitario","Chipre",60,120,240,4,2,1,9,5,4
"2400","Mujer","Grado Universitario","Chipre",35,120,240,4,2,4,6,7,4
"2401","Mujer","Grado Universitario","Chipre",63,50,60,1,0.83,0,9,8,5
"2402","Mujer","Formacion Profesional","Chipre",53,60,600,10,1,0,8,9,4
"2403","Hombre","Bachiller","Chipre",29,80,80,1.33,1.33,10,10,10,5
"2404","Mujer","Grado Universitario","Chipre",67,150,NA,NA,2.5,4,5,8,4
"2405","Mujer","Bachiller","Chipre",72,60,NA,NA,1,0,3,8,4
"2406","Hombre","Formacion Profesional","Chipre",83,90,480,8,1.5,0,8,8,4
"2407","Mujer","Bachiller","Chipre",36,60,300,5,1,1,4,3,5
"2408","Mujer","Grado Universitario","Chipre",48,30,600,10,0.5,1,9,8,5
"2409","Mujer","Master/Doctorado","Chipre",33,20,360,6,0.33,3,6,6,5
"2410","Mujer","Formacion Profesional","Chipre",NA,59,240,4,0.98,1,7,4,4
"2411","Mujer","Master/Doctorado","Chipre",43,60,600,10,1,3,8,6,4
"2412","Hombre","Bachiller","Chipre",71,90,45,0.75,1.5,7,9,8,3
"2413","Mujer","Bachiller","Chipre",49,80,480,8,1.33,3,6,7,4
"2414","Mujer","Bachiller","Chipre",57,40,120,2,0.67,1,9,7,4
"2415","Mujer","Master/Doctorado","Chipre",38,30,240,4,0.5,0,4,7,4
"2416","Mujer","Master/Doctorado","Chipre",47,30,600,10,0.5,5,6,5,5
"2417","Mujer","Bachiller","Chipre",19,30,1020,17,0.5,1,4,3,4
"2418","Hombre","Master/Doctorado","Chipre",71,120,NA,NA,2,1,7,7,3
"2419","Hombre","Formacion Profesional","Chipre",31,60,240,4,1,1,1,1,4
"2420","Hombre","Grado Universitario","Chipre",46,60,600,10,1,0,6,8,5
"2421","Hombre",NA,"Chipre",NA,10,300,5,0.17,4,1,8,5
"2422","Hombre","Grado Universitario","Chipre",55,180,180,3,3,0,7,8,5
"2423","Mujer","Master/Doctorado","Chipre",32,120,480,8,2,2,8,9,5
"2424","Hombre","Primaria","Chipre",76,0,240,4,0,2,5,6,2
"2425","Hombre","Grado Universitario","Chipre",63,15,240,4,0.25,0,7,8,4
"2426","Hombre","Grado Universitario","Chipre",59,150,120,2,2.5,3,10,6,5
"2427","Hombre","Grado Universitario","Chipre",60,60,600,10,1,3,7,6,4
"2428","Mujer","Bachiller","Chipre",44,30,180,3,0.5,3,8,7,4
"2429","Hombre","Bachiller","Chipre",55,10,120,2,0.17,1,8,5,4
"2430","Mujer","Secundaria Inferior","Chipre",53,50,60,1,0.83,3,6,6,4
"2431","Mujer","Secundaria Inferior","Chipre",17,20,240,4,0.33,3,4,8,4
"2432","Hombre","Grado Universitario","Chipre",50,60,180,3,1,0,4,8,1
"2433","Hombre","Master/Doctorado","Chipre",41,20,300,5,0.33,2,5,6,3
"2434","Mujer","Master/Doctorado","Chipre",24,60,240,4,1,3,9,9,4
"2435","Mujer","Master/Doctorado","Chipre",32,60,720,12,1,0,8,4,4
"2436","Mujer","Grado Universitario","Chipre",25,10,240,4,0.17,0,3,5,5
"2437","Mujer","Grado Universitario","Chipre",30,60,480,8,1,1,8,8,3
"2438","Mujer","Bachiller","Chipre",46,30,120,2,0.5,0,10,2,5
"2439","Mujer","Formacion Profesional","Chipre",48,10,90,1.5,0.17,1,8,2,4
"2440","Mujer","Master/Doctorado","Chipre",34,180,NA,NA,3,1,3,8,5
"2441","Mujer","Primaria","Chipre",70,80,NA,NA,1.33,4,10,3,3
"2442","Mujer","Primaria","Chipre",62,120,240,4,2,0,8,8,4
"2443","Hombre","Master/Doctorado","Chipre",37,20,600,10,0.33,0,5,6,5
"2444","Hombre","Bachiller","Chipre",87,150,NA,NA,2.5,1,7,2,3
"2445","Mujer","Bachiller","Chipre",50,45,360,6,0.75,2,8,8,4
"2446","Mujer","Master/Doctorado","Chipre",59,30,60,1,0.5,0,9,6,4
"2447","Hombre","Grado Universitario","Chipre",74,60,90,1.5,1,5,9,6,4
"2448","Mujer","Primaria","Chipre",62,30,60,1,0.5,0,4,5,1
"2449","Mujer","Bachiller","Chipre",54,100,NA,NA,1.67,1,8,7,4
"2450","Mujer","Grado Universitario","Chipre",56,30,720,12,0.5,2,10,7,4
"2451","Mujer","Master/Doctorado","Chipre",40,30,360,6,0.5,3,8,6,5
"2452","Mujer","Secundaria Inferior","Chipre",17,30,210,3.5,0.5,1,6,2,5
"2453","Hombre","Master/Doctorado","Chipre",40,180,180,3,3,1,9,8,5
"2454","Hombre","Grado Universitario","Chipre",63,120,180,3,2,4,6,6,4
"2455","Hombre","Bachiller","Chipre",19,10,120,2,0.17,0,5,8,5
"2456","Hombre","Master/Doctorado","Chipre",74,240,30,0.5,4,2,9,7,3
"2457","Mujer","Master/Doctorado","Chipre",35,45,540,9,0.75,2,7,7,5
"2458","Mujer","Master/Doctorado","Chipre",44,60,600,10,1,0,9,8,4
"2459","Mujer","Grado Universitario","Chipre",33,30,600,10,0.5,0,5,10,5
"2460","Hombre","Master/Doctorado","Chipre",63,90,120,2,1.5,4,5,3,3
"2461","Hombre","Grado Universitario","Chipre",59,60,120,2,1,1,8,8,5
"2462","Mujer","Master/Doctorado","Chipre",38,10,360,6,0.17,2,8,9,5
"2463","Mujer","Master/Doctorado","Chipre",38,90,480,8,1.5,0,9,5,5
"2464","Mujer","Master/Doctorado","Chipre",46,135,NA,NA,2.25,3,7,9,4
"2465","Mujer","Bachiller","Chipre",63,120,NA,NA,2,5,7,8,4
"2466","Mujer","Master/Doctorado","Chipre",34,40,330,5.5,0.67,0,7,8,5
"2467","Hombre","Bachiller","Chipre",42,60,120,2,1,2,8,6,4
"2468","Mujer","Grado Universitario","Chipre",35,60,600,10,1,4,5,5,4
"2469","Mujer","Formacion Profesional","Chipre",34,0,360,6,0,5,5,10,5
"2470","Mujer","Formacion Profesional","Chipre",51,120,660,11,2,1,7,6,4
"2471","Hombre","Formacion Profesional","Chipre",60,150,210,3.5,2.5,2,5,2,1
"2472","Mujer","Master/Doctorado","Chipre",28,10,360,6,0.17,4,8,8,5
"2473","Mujer","Grado Universitario","Chipre",47,40,180,3,0.67,3,5,8,5
"2474","Hombre","Bachiller","Chipre",55,0,180,3,0,0,6,5,5
"2475","Mujer","Master/Doctorado","Chipre",37,20,60,1,0.33,2,4,7,5
"2476","Hombre","Secundaria Inferior","Chipre",79,140,NA,NA,2.33,0,10,8,4
"2477","Hombre","Secundaria Inferior","Chipre",76,60,120,2,1,4,7,8,4
"2478","Mujer","Grado Universitario","Chipre",33,10,180,3,0.17,0,8,7,4
"2479","Mujer","Master/Doctorado","Chipre",NA,0,180,3,0,0,3,5,5
"2480","Hombre","Grado Universitario","Chipre",31,210,300,5,3.5,5,5,6,5
"2481","Mujer","Bachiller","Chipre",58,90,NA,NA,1.5,0,10,6,3
"2482","Mujer","Formacion Profesional","Chipre",60,120,480,8,2,3,8,6,4
"2483","Hombre","Bachiller","Chipre",65,180,120,2,3,1,9,8,4
"2484","Hombre","Formacion Profesional","Chipre",80,120,NA,NA,2,0,10,0,3
"2485","Hombre","Master/Doctorado","Chipre",44,90,120,2,1.5,2,8,8,5
"2486","Mujer","Formacion Profesional","Chipre",39,NA,600,10,NA,0,3,5,4
"2487","Hombre",NA,"Chipre",78,195,NA,NA,3.25,10,1,7,4
"2488","Mujer","Formacion Profesional","Chipre",44,20,150,2.5,0.33,2,8,8,5
"2489","Hombre","Bachiller","Chipre",59,30,180,3,0.5,0,8,6,3
"2490","Mujer","Master/Doctorado","Chipre",35,15,120,2,0.25,1,7,7,5
"2491","Mujer","Grado Universitario","Chipre",28,60,720,12,1,5,7,7,4
"2492","Mujer","Grado Universitario","Chipre",50,60,300,5,1,2,8,6,3
"2493","Mujer","Master/Doctorado","Chipre",33,310,650,10.83,5.17,3,6,5,4
"2494","Mujer","Bachiller","Chipre",NA,60,NA,NA,1,1,4,8,4
"2495","Mujer","Master/Doctorado","Chipre",39,60,360,6,1,0,7,5,5
"2496","Mujer","Formacion Profesional","Chipre",35,60,300,5,1,1,1,5,4
"2497","Hombre","Master/Doctorado","Chipre",58,60,120,2,1,4,8,7,4
"2498","Mujer","Grado Universitario","Chipre",44,0,1140,19,0,0,2,9,4
"2499","Hombre","Bachiller","Chipre",76,20,NA,NA,0.33,4,8,9,4
"2500","Hombre","Bachiller","Chipre",58,60,NA,NA,1,5,8,7,5
"2501","Hombre","Master/Doctorado","Chipre",60,195,720,12,3.25,0,9,6,4
"2502","Mujer","Grado Universitario","Chipre",37,30,360,6,0.5,2,4,5,4
"2503","Mujer","Bachiller","Chipre",19,80,330,5.5,1.33,2,4,2,5
"2504","Mujer","Grado Universitario","Chipre",24,150,300,5,2.5,0,7,5,4
"2505","Hombre","Secundaria Inferior","Chipre",37,10,600,10,0.17,0,2,7,5
"2506","Hombre","Bachiller","Chipre",69,60,120,2,1,4,8,7,5
"2507","Mujer","Grado Universitario","Chipre",50,5,60,1,0.08,0,6,7,4
"2508","Hombre","Formacion Profesional","Chipre",22,30,600,10,0.5,6,7,8,5
"2509","Hombre","Secundaria Inferior","Chipre",16,150,540,9,2.5,5,10,8,5
"2510","Mujer","Master/Doctorado","Chipre",28,20,480,8,0.33,1,8,2,5
"2511","Hombre","Master/Doctorado","Chipre",27,180,480,8,3,0,9,9,3
"2512","Mujer","Master/Doctorado","Chipre",34,60,600,10,1,0,0,8,5
"2513","Hombre","Bachiller","Chipre",78,90,NA,NA,1.5,2,9,7,3
"2514","Hombre","Bachiller","Chipre",37,50,180,3,0.83,3,6,6,5
"2515","Mujer","Bachiller","Chipre",18,30,240,4,0.5,0,9,8,5
"2516","Mujer","Master/Doctorado","Chipre",34,30,120,2,0.5,1,7,8,5
"2517","Mujer","Primaria","Chipre",68,NA,150,2.5,NA,0,3,4,4
"2518","Mujer","Master/Doctorado","Chipre",51,60,60,1,1,0,6,7,5
"2519","Hombre","Master/Doctorado","Chipre",46,180,540,9,3,2,8,8,2
"2520","Mujer","Master/Doctorado","Chipre",29,60,120,2,1,1,5,5,4
"2521","Hombre","Formacion Profesional","Chipre",68,300,180,3,5,3,7,9,5
"2522","Hombre","Master/Doctorado","Chipre",51,75,90,1.5,1.25,1,7,5,5
"2523","Hombre","Bachiller","Chipre",42,10,180,3,0.17,3,3,10,5
"2524","Hombre","Master/Doctorado","Chipre",29,10,480,8,0.17,0,7,8,5
"2525","Hombre","Grado Universitario","Chipre",33,120,720,12,2,0,5,7,4
"2526","Hombre","Bachiller","Chipre",67,150,NA,NA,2.5,0,5,2,4
"2527","Mujer","Grado Universitario","Chipre",47,NA,120,2,NA,1,4,NA,4
"2528","Mujer","Formacion Profesional","Chipre",47,0,NA,NA,0,4,5,5,4
"2529","Hombre","Master/Doctorado","Chipre",42,120,240,4,2,2,5,2,4
"2530","Mujer","Bachiller","Chipre",38,5,480,8,0.08,0,8,10,4
"2531","Hombre","Bachiller","Chipre",65,30,NA,NA,0.5,0,10,8,4
"2532","Mujer","Master/Doctorado","Chipre",40,40,60,1,0.67,2,8,8,5
"2533","Hombre","Bachiller","Chipre",78,180,180,3,3,0,8,5,3
"2534","Hombre",NA,"Chipre",75,270,NA,NA,4.5,0,1,7,4
"2535","Mujer","Bachiller","Chipre",50,60,240,4,1,1,7,3,3
"2536","Mujer","Master/Doctorado","Chipre",36,60,600,10,1,1,5,5,5
"2537","Mujer","Master/Doctorado","Chipre",38,60,180,3,1,0,3,7,5
"2538","Mujer","Master/Doctorado","Chipre",34,10,240,4,0.17,0,8,6,5
"2539","Mujer","Bachiller","Chipre",38,70,330,5.5,1.17,3,10,6,4
"2540","Mujer","Formacion Profesional","Chipre",61,60,1200,20,1,2,5,4,3
"2541","Mujer","Master/Doctorado","Chipre",41,30,300,5,0.5,1,2,9,4
"2542","Hombre","Grado Universitario","Chipre",65,390,140,2.33,6.5,5,6,7,4
"2543","Mujer","Grado Universitario","Chipre",47,120,960,16,2,9,9,7,4
"2544","Hombre","Master/Doctorado","Chipre",49,60,120,2,1,2,8,8,4
"2545","Mujer","Bachiller","Chipre",47,150,520,8.67,2.5,0,7,10,1
"2546","Mujer","Formacion Profesional","Chipre",43,60,180,3,1,5,5,5,4
"2547","Hombre","Bachiller","Chipre",67,60,120,2,1,2,7,7,4
"2548","Mujer","Master/Doctorado","Chipre",33,90,720,12,1.5,0,4,8,5
"2549","Mujer","Bachiller","Chipre",67,60,NA,NA,1,6,6,6,3
"2550","Mujer","Master/Doctorado","Chipre",28,30,300,5,0.5,0,7,6,4
"2551","Hombre","Master/Doctorado","Chipre",78,60,360,6,1,2,5,6,1
"2552","Mujer","Primaria","Chipre",35,60,300,5,1,0,5,5,5
"2553","Mujer","Master/Doctorado","Chipre",44,90,600,10,1.5,3,8,7,4
"2554","Hombre","Grado Universitario","Chipre",25,30,180,3,0.5,3,7,7,4
"2555","Hombre","Grado Universitario","Chipre",62,120,240,4,2,1,8,NA,4
"2556","Hombre","Grado Universitario","Chipre",NA,60,240,4,1,0,0,7,4
"2557","Mujer","Grado Universitario","Chipre",28,60,240,4,1,0,8,7,5
"2558","Mujer","Grado Universitario","Chipre",66,120,720,12,2,1,9,8,3
"2559","Mujer",NA,"Chipre",70,90,20,0.33,1.5,5,5,3,3
"2560","Mujer","Formacion Profesional","Chipre",28,30,780,13,0.5,5,8,3,4
"2561","Mujer","Master/Doctorado","Chipre",45,120,480,8,2,0,5,5,4
"2562","Hombre","Master/Doctorado","Chipre",NA,30,60,1,0.5,3,8,6,5
"2563","Mujer","Grado Universitario","Chipre",37,15,600,10,0.25,3,9,8,5
"2564","Hombre","Master/Doctorado","Chipre",26,5,420,7,0.08,0,10,1,3
"2565","Mujer","Bachiller","Chipre",44,10,90,1.5,0.17,1,6,7,5
"2566","Mujer","Primaria","Chipre",74,60,NA,NA,1,3,4,3,3
"2567","Hombre","Master/Doctorado","Chipre",62,10,20,0.33,0.17,0,8,7,5
"2568","Mujer","Grado Universitario","Chipre",28,90,930,15.5,1.5,0,6,2,5
"2569","Mujer","Secundaria Inferior","Chipre",59,30,60,1,0.5,2,7,1,3
"2570","Hombre","Bachiller","Chipre",34,20,120,2,0.33,2,8,7,4
"2571","Mujer","Formacion Profesional","Chipre",77,90,300,5,1.5,0,9,6,4
"2572","Mujer","Grado Universitario","Chipre",66,120,30,0.5,2,0,6,4,4
"2573","Hombre","Master/Doctorado","Chipre",41,60,600,10,1,5,8,7,4
"2574","Mujer","Formacion Profesional","Chipre",44,150,90,1.5,2.5,3,3,5,5
"2575","Mujer","Grado Universitario","Chipre",21,65,360,6,1.08,1,10,8,4
"2576","Mujer","Master/Doctorado","Chipre",40,60,240,4,1,0,7,5,5
"2577","Mujer","Bachiller","Chipre",54,60,480,8,1,4,6,8,5
"2578","Hombre","Grado Universitario","Chipre",23,30,300,5,0.5,4,9,9,5
"2579","Mujer","Secundaria Superior","Chipre",19,30,480,8,0.5,2,10,10,5
"2580","Hombre","Formacion Profesional","Chipre",32,120,540,9,2,4,8,8,5
"2581","Mujer","Master/Doctorado","Chipre",45,5,120,2,0.08,1,9,7,4
"2582","Hombre","Grado Universitario","Chipre",32,90,720,12,1.5,0,8,8,5
"2583","Mujer","Master/Doctorado","Chipre",NA,30,690,11.5,0.5,0,6,7,3
"2584","Hombre","Grado Universitario","Chipre",59,75,150,2.5,1.25,1,8,6,5
"2585","Hombre","Master/Doctorado","Chipre",53,120,900,15,2,1,8,7,4
"2586","Mujer","Master/Doctorado","Chipre",60,30,360,6,0.5,1,5,5,4
"2587","Mujer","Bachiller","Chipre",18,90,600,10,1.5,1,6,4,4
"2588","Mujer","Primaria","Chipre",62,90,90,1.5,1.5,2,7,5,4
"2589","Hombre","Grado Universitario","Chipre",41,60,180,3,1,NA,NA,8,4
"2590","Mujer","Grado Universitario","Chipre",61,15,180,3,0.25,1,7,8,4
"2591","Mujer","Formacion Profesional","Chipre",39,30,600,10,0.5,1,5,3,3
"2592","Hombre","Grado Universitario","Chipre",66,180,NA,NA,3,2,8,10,4
"2593","Mujer","Grado Universitario","Chipre",65,60,60,1,1,0,7,5,5
"2594","Mujer","Master/Doctorado","Chipre",46,60,180,3,1,0,10,6,5
"2595","Hombre","Grado Universitario","Chipre",64,0,300,5,0,2,5,8,5
"2596","Mujer","Formacion Profesional","Chipre",56,30,60,1,0.5,2,5,5,5
"2597","Hombre","Formacion Profesional","Chipre",90,150,150,2.5,2.5,0,9,8,4
"2598","Mujer","Grado Universitario","Chipre",58,400,240,4,6.67,0,7,7,4
"2599","Mujer","Grado Universitario","Chipre",69,330,210,3.5,5.5,5,9,0,3
"2600","Hombre","Master/Doctorado","Chipre",39,5,600,10,0.08,0,8,7,4
"2601","Mujer","Grado Universitario","Chipre",46,150,180,3,2.5,0,5,5,4
"2602","Mujer","Grado Universitario","Chipre",41,120,360,6,2,0,7,6,5
"2603","Mujer","Master/Doctorado","Chipre",30,20,600,10,0.33,0,10,9,5
"2604","Mujer",NA,"Chipre",23,60,780,13,1,2,9,5,4
"2605","Mujer","Formacion Profesional","Chipre",37,120,720,12,2,1,9,9,4
"2606","Mujer",NA,"Chipre",37,60,480,8,1,0,8,10,5
"2607","Hombre","Grado Universitario","Chipre",53,40,150,2.5,0.67,3,8,3,4
"2608","Mujer","Formacion Profesional","Chipre",51,60,240,4,1,0,8,9,5
"2609","Hombre","Master/Doctorado","Chipre",54,60,720,12,1,2,4,8,5
"2610","Mujer","Secundaria Inferior","Chipre",70,90,NA,NA,1.5,8,9,7,4
"2611","Hombre","Bachiller","Chipre",57,60,120,2,1,2,9,8,4
"2612","Hombre","Bachiller","Chipre",77,150,NA,NA,2.5,6,8,7,3
"2613","Hombre","Grado Universitario","Chipre",23,210,240,4,3.5,2,8,7,5
"2614","Mujer","Formacion Profesional","Chipre",45,30,360,6,0.5,2,7,7,4
"2615","Mujer","Primaria","Chipre",56,20,180,3,0.33,4,6,4,4
"2616","Hombre","Grado Universitario","Chipre",83,70,NA,NA,1.17,4,8,6,4
"2617","Hombre","Master/Doctorado","Chipre",76,150,270,4.5,2.5,2,7,8,4
"2618","Hombre","Formacion Profesional","Chipre",19,30,600,10,0.5,0,9,8,4
"2619","Hombre","Master/Doctorado","Chipre",33,30,720,12,0.5,2,7,7,4
"2620","Mujer","Master/Doctorado","Chipre",33,180,720,12,3,0,7,7,4
"2621","Hombre","Secundaria Inferior","Chipre",57,60,120,2,1,0,8,7,4
"2622","Mujer","Formacion Profesional","Chipre",62,90,45,0.75,1.5,0,5,6,4
"2623","Mujer",NA,"Chipre",22,90,360,6,1.5,5,7,5,5
"2624","Mujer","Grado Universitario","Chipre",37,60,1200,20,1,1,9,2,4
"2625","Hombre","Master/Doctorado","Chipre",56,150,240,4,2.5,6,8,5,3
"2626","Hombre","Bachiller","Chipre",72,270,NA,NA,4.5,4,8,6,3
"2627","Mujer","Grado Universitario","Chipre",57,90,630,10.5,1.5,1,6,4,4
"2628","Mujer","Bachiller","Chipre",82,5,60,1,0.08,0,4,4,3
"2629","Mujer","Master/Doctorado","Chipre",62,1,540,9,0.02,0,1,7,3
"2630","Hombre","Bachiller","Chipre",31,90,180,3,1.5,2,7,8,4
"2631","Hombre","Master/Doctorado","Chipre",43,120,240,4,2,0,2,8,5
"2632","Mujer","Primaria","Chipre",74,120,NA,NA,2,3,8,NA,3
"2633","Hombre","Grado Universitario","Chipre",48,30,900,15,0.5,0,8,3,4
"2634","Hombre","Formacion Profesional","Chipre",72,60,240,4,1,5,8,8,4
"2635","Hombre","Bachiller","Chipre",52,210,220,3.67,3.5,3,7,5,4
"2636","Hombre",NA,"Chipre",18,0,1140,19,0,0,1,1,5
"2637","Hombre",NA,"Chipre",24,20,180,3,0.33,2,5,10,5
"2638","Mujer","Master/Doctorado","Chipre",47,119,210,3.5,1.98,0,8,0,5
"2639","Mujer","Bachiller","Chipre",52,40,60,1,0.67,4,0,7,4
"2640","Hombre","Bachiller","Chipre",65,130,NA,NA,2.17,5,10,7,4
"2641","Mujer","Grado Universitario","Chipre",26,119,600,10,1.98,2,7,5,5
"2642","Mujer","Primaria","Chipre",49,20,120,2,0.33,3,1,2,4
"2643","Mujer","Bachiller","Chipre",30,60,300,5,1,0,4,3,4
"2644","Hombre","Grado Universitario","Chipre",75,180,120,2,3,5,8,8,3
"2645","Mujer","Formacion Profesional","Chipre",51,60,120,2,1,1,7,10,5
"2646","Hombre","Bachiller","Chipre",NA,90,240,4,1.5,1,8,7,5
"2647","Mujer","Master/Doctorado","Chipre",26,30,300,5,0.5,0,5,7,4
"2648","Mujer","Formacion Profesional","Chipre",46,30,240,4,0.5,5,9,7,5
"2649","Mujer","Bachiller","Chipre",47,60,420,7,1,0,6,7,3
"2650","Mujer","Grado Universitario","Chipre",51,300,840,14,5,2,6,2,5
"2651","Hombre","Formacion Profesional","Chipre",50,10,60,1,0.17,0,1,5,4
"2652","Hombre","Master/Doctorado","Chipre",25,120,480,8,2,7,9,7,4
"2653","Mujer","Bachiller","Chipre",NA,90,NA,NA,1.5,0,3,1,3
"2654","Hombre","Formacion Profesional","Chipre",69,210,720,12,3.5,3,7,6,NA
"2655","Mujer","Bachiller","Chipre",49,30,480,8,0.5,3,5,7,4
"2656","Mujer","Master/Doctorado","Chipre",34,59,360,6,0.98,5,8,9,5
"2657","Mujer","Master/Doctorado","Chipre",33,5,480,8,0.08,3,7,7,5
"2658","Mujer","Grado Universitario","Chipre",35,120,180,3,2,5,5,8,5
"2659","Hombre","Master/Doctorado","Chipre",41,90,600,10,1.5,3,10,7,4
"2660","Hombre","Formacion Profesional","Chipre",76,150,NA,NA,2.5,7,8,8,5
"2661","Mujer","Master/Doctorado","Chipre",40,30,720,12,0.5,0,7,8,4
"2662","Hombre","Formacion Profesional","Chipre",46,40,600,10,0.67,3,9,7,4
"2663","Mujer","Master/Doctorado","Chipre",46,150,180,3,2.5,1,9,6,5
"2664","Hombre","Formacion Profesional","Chipre",39,120,1080,18,2,3,7,7,5
"2665","Hombre","Bachiller","Chipre",72,120,NA,NA,2,2,10,7,4
"2666","Mujer","Master/Doctorado","Chipre",27,0,600,10,0,0,5,7,4
"2667","Hombre","Primaria","Chipre",74,150,150,2.5,2.5,4,8,8,4
"2668","Mujer","Bachiller","Chipre",56,90,180,3,1.5,10,10,10,3
"2669","Mujer","Master/Doctorado","Chipre",27,5,480,8,0.08,0,3,8,5
"2670","Mujer","Grado Universitario","Chipre",62,120,300,5,2,5,7,6,3
"2671","Mujer","Primaria","Chipre",43,240,240,4,4,0,4,8,4
"2672","Hombre","Secundaria Superior","Chipre",51,60,120,2,1,4,7,6,4
"2673","Hombre","Grado Universitario","Chipre",73,240,180,3,4,0,8,8,5
"2674","Mujer","Grado Universitario","Chipre",75,90,240,4,1.5,5,8,6,4
"2675","Mujer","Grado Universitario","Chipre",34,30,240,4,0.5,1,2,8,5
